"B25077_001E","B25077_001M","GEO_ID","NAME"
"Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)","id","Geographic Area Name"
"282400","2820","0500000US12011","Broward County, Florida"
"91100","13794","0500000US12013","Calhoun County, Florida"
"209500","4433","0500000US12015","Charlotte County, Florida"
"144100","4423","0500000US12017","Citrus County, Florida"
"195900","5677","0500000US12019","Clay County, Florida"
"366600","6305","0500000US12021","Collier County, Florida"
"128800","9734","0500000US12023","Columbia County, Florida"
"103600","11412","0500000US12027","DeSoto County, Florida"
"85000","4227","0500000US12029","Dixie County, Florida"
"195600","2645","0500000US12031","Duval County, Florida"
"157200","2752","0500000US12033","Escambia County, Florida"
"232700","3755","0500000US12035","Flagler County, Florida"
"193800","16147","0500000US12037","Franklin County, Florida"
"98100","11534","0500000US12039","Gadsden County, Florida"
"125900","16641","0500000US12041","Gilchrist County, Florida"
"72100","7361","0500000US12043","Glades County, Florida"
"170700","16351","0500000US12045","Gulf County, Florida"
"85900","8927","0500000US12047","Hamilton County, Florida"
"94100","10136","0500000US12049","Hardee County, Florida"
"105900","8982","0500000US12051","Hendry County, Florida"
"158400","2560","0500000US12053","Hernando County, Florida"
"120500","5476","0500000US12055","Highlands County, Florida"
"233200","2180","0500000US12057","Hillsborough County, Florida"
"86400","9605","0500000US12059","Holmes County, Florida"
"220700","7300","0500000US12061","Indian River County, Florida"
"101300","9097","0500000US12063","Jackson County, Florida"
"137300","21730","0500000US12065","Jefferson County, Florida"
"100600","22661","0500000US12067","Lafayette County, Florida"
"202500","3856","0500000US12069","Lake County, Florida"
"235300","3031","0500000US12071","Lee County, Florida"
"212900","5425","0500000US12073","Leon County, Florida"
"119000","6088","0500000US12075","Levy County, Florida"
"83700","27137","0500000US12077","Liberty County, Florida"
"89100","17840","0500000US12079","Madison County, Florida"
"250700","4044","0500000US12081","Manatee County, Florida"
"151700","3033","0500000US12083","Marion County, Florida"
"293000","10840","0500000US12085","Martin County, Florida"
"310700","2726","0500000US12086","Miami-Dade County, Florida"
"558100","21866","0500000US12087","Monroe County, Florida"
"243700","6355","0500000US12089","Nassau County, Florida"
"234600","4658","0500000US12091","Okaloosa County, Florida"
"116500","9104","0500000US12093","Okeechobee County, Florida"
"257800","3013","0500000US12095","Orange County, Florida"
"221600","2774","0500000US12097","Osceola County, Florida"
"301000","3133","0500000US12099","Palm Beach County, Florida"
"173900","2881","0500000US12101","Pasco County, Florida"
"219800","2474","0500000US12103","Pinellas County, Florida"
"162400","2240","0500000US12105","Polk County, Florida"
"103400","6906","0500000US12107","Putnam County, Florida"
"326300","5822","0500000US12109","St. Johns County, Florida"
"209700","4629","0500000US12111","St. Lucie County, Florida"
"214900","5797","0500000US12113","Santa Rosa County, Florida"
"269300","3825","0500000US12115","Sarasota County, Florida"
"263700","3410","0500000US12117","Seminole County, Florida"
"267100","6108","0500000US12119","Sumter County, Florida"
"107100","14161","0500000US12121","Suwannee County, Florida"
"81900","12374","0500000US12123","Taylor County, Florida"
"112600","13372","0500000US12125","Union County, Florida"
"194900","2848","0500000US12127","Volusia County, Florida"
"171200","12125","0500000US12129","Wakulla County, Florida"
"245400","15687","0500000US12131","Walton County, Florida"
"120800","7120","0500000US12133","Washington County, Florida"
"87100","11796","0500000US13001","Appling County, Georgia"
"63400","6495","0500000US13003","Atkinson County, Georgia"
"82300","10077","0500000US13005","Bacon County, Georgia"
"108100","21570","0500000US13007","Baker County, Georgia"
"128800","6770","0500000US13009","Baldwin County, Georgia"
"164500","7615","0500000US13011","Banks County, Georgia"
"169900","2542","0500000US13013","Barrow County, Georgia"
"178500","6522","0500000US13015","Bartow County, Georgia"
"85500","9462","0500000US13017","Ben Hill County, Georgia"
"95200","12934","0500000US13019","Berrien County, Georgia"
"125300","4136","0500000US13021","Bibb County, Georgia"
"101900","15194","0500000US13023","Bleckley County, Georgia"
"92800","16848","0500000US13025","Brantley County, Georgia"
"94200","14122","0500000US13027","Brooks County, Georgia"
"227400","14486","0500000US13029","Bryan County, Georgia"
"147100","7927","0500000US13031","Bulloch County, Georgia"
"89900","13404","0500000US13033","Burke County, Georgia"
"156700","14630","0500000US13035","Butts County, Georgia"
"48700","5867","0500000US13037","Calhoun County, Georgia"
"171400","6957","0500000US13039","Camden County, Georgia"
"89800","9197","0500000US13043","Candler County, Georgia"
"147400","5270","0500000US13045","Carroll County, Georgia"
"151300","5017","0500000US13047","Catoosa County, Georgia"
"87200","15902","0500000US13049","Charlton County, Georgia"
"209200","5942","0500000US13051","Chatham County, Georgia"
"82000","25352","0500000US13053","Chattahoochee County, Georgia"
"77200","6700","0500000US13055","Chattooga County, Georgia"
"271300","5084","0500000US13057","Cherokee County, Georgia"
"186800","6359","0500000US13059","Clarke County, Georgia"
"70500","14541","0500000US13061","Clay County, Georgia"
"122100","3309","0500000US13063","Clayton County, Georgia"
"71800","5248","0500000US13065","Clinch County, Georgia"
"273900","3761","0500000US13067","Cobb County, Georgia"
"106400","9151","0500000US13069","Coffee County, Georgia"
"92600","7790","0500000US13071","Colquitt County, Georgia"
"215200","6158","0500000US13073","Columbia County, Georgia"
"93400","13927","0500000US13075","Cook County, Georgia"
"225000","4720","0500000US13077","Coweta County, Georgia"
"121500","25894","0500000US13079","Crawford County, Georgia"
"83100","7195","0500000US13081","Crisp County, Georgia"
"128500","11701","0500000US13083","Dade County, Georgia"
"241900","13273","0500000US13085","Dawson County, Georgia"
"115000","12913","0500000US13087","Decatur County, Georgia"
"235300","4687","0500000US13089","DeKalb County, Georgia"
"86600","12905","0500000US13091","Dodge County, Georgia"
"81400","8860","0500000US13093","Dooly County, Georgia"
"106200","4883","0500000US13095","Dougherty County, Georgia"
"171300","3315","0500000US13097","Douglas County, Georgia"
"120700","18442","0500000US13099","Early County, Georgia"
"76000","32453","0500000US13101","Echols County, Georgia"
"170600","4900","0500000US13103","Effingham County, Georgia"
"87400","6240","0500000US13105","Elbert County, Georgia"
"74700","4629","0500000US13107","Emanuel County, Georgia"
"97700","12745","0500000US13109","Evans County, Georgia"
"206900","15384","0500000US13111","Fannin County, Georgia"
"293400","7254","0500000US13113","Fayette County, Georgia"
"137600","8303","0500000US13115","Floyd County, Georgia"
"362300","4587","0500000US13117","Forsyth County, Georgia"
"120500","10030","0500000US13119","Franklin County, Georgia"
"326700","6443","0500000US13121","Fulton County, Georgia"
"205800","15148","0500000US13123","Gilmer County, Georgia"
"82600","18828","0500000US13125","Glascock County, Georgia"
"194300","10823","0500000US13127","Glynn County, Georgia"
"148300","6629","0500000US13129","Gordon County, Georgia"
"121700","11403","0500000US13131","Grady County, Georgia"
"241300","35054","0500000US13133","Greene County, Georgia"
"235700","2658","0500000US13135","Gwinnett County, Georgia"
"155200","5233","0500000US13137","Habersham County, Georgia"
"212700","5198","0500000US13139","Hall County, Georgia"
"80400","11151","0500000US13141","Hancock County, Georgia"
"144200","14725","0500000US13143","Haralson County, Georgia"
"230400","10768","0500000US13145","Harris County, Georgia"
"149100","19777","0500000US13147","Hart County, Georgia"
"114500","7395","0500000US13149","Heard County, Georgia"
"189600","3744","0500000US13151","Henry County, Georgia"
"157200","4486","0500000US13153","Houston County, Georgia"
"83200","9343","0500000US13155","Irwin County, Georgia"
"210100","6558","0500000US13157","Jackson County, Georgia"
"145000","11632","0500000US13159","Jasper County, Georgia"
"85900","4744","0500000US13161","Jeff Davis County, Georgia"
"85600","9796","0500000US13163","Jefferson County, Georgia"
"61300","22634","0500000US13165","Jenkins County, Georgia"
"68900","11589","0500000US13167","Johnson County, Georgia"
"149700","9066","0500000US13169","Jones County, Georgia"
"145800","18516","0500000US13171","Lamar County, Georgia"
"117800","12219","0500000US13173","Lanier County, Georgia"
"99600","9203","0500000US13175","Laurens County, Georgia"
"166900","8514","0500000US13177","Lee County, Georgia"
"133700","6196","0500000US13179","Liberty County, Georgia"
"132300","28413","0500000US13181","Lincoln County, Georgia"
"129800","19040","0500000US13183","Long County, Georgia"
"145900","5000","0500000US13185","Lowndes County, Georgia"
"199100","14054","0500000US13187","Lumpkin County, Georgia"
"115100","11138","0500000US13189","McDuffie County, Georgia"
"152700","18624","0500000US13191","McIntosh County, Georgia"
"68600","12283","0500000US13193","Macon County, Georgia"
"143200","10639","0500000US13195","Madison County, Georgia"
"109400","19507","0500000US13197","Marion County, Georgia"
"112500","10833","0500000US13199","Meriwether County, Georgia"
"99400","10767","0500000US13201","Miller County, Georgia"
"94200","11775","0500000US13205","Mitchell County, Georgia"
"175000","10246","0500000US13207","Monroe County, Georgia"
"92200","8741","0500000US13209","Montgomery County, Georgia"
"230400","14502","0500000US13211","Morgan County, Georgia"
"122100","9910","0500000US13213","Murray County, Georgia"
"142900","5275","0500000US13215","Muscogee County, Georgia"
"159200","3375","0500000US13217","Newton County, Georgia"
"304400","16535","0500000US13219","Oconee County, Georgia"
"133200","13703","0500000US13221","Oglethorpe County, Georgia"
"184000","4585","0500000US13223","Paulding County, Georgia"
"140100","17518","0500000US13225","Peach County, Georgia"
"196400","10459","0500000US13227","Pickens County, Georgia"
"101700","12455","0500000US13229","Pierce County, Georgia"
"181700","11482","0500000US13231","Pike County, Georgia"
"121900","8853","0500000US13233","Polk County, Georgia"
"109500","16229","0500000US13235","Pulaski County, Georgia"
"165800","12608","0500000US13237","Putnam County, Georgia"
"70200","19204","0500000US13239","Quitman County, Georgia"
"185500","13107","0500000US13241","Rabun County, Georgia"
"76100","11963","0500000US13243","Randolph County, Georgia"
"115300","4352","0500000US13245","Richmond County, Georgia"
"170100","4320","0500000US13247","Rockdale County, Georgia"
"134800","17138","0500000US13249","Schley County, Georgia"
"85700","7037","0500000US13251","Screven County, Georgia"
"92100","9199","0500000US13253","Seminole County, Georgia"
"134800","7112","0500000US13255","Spalding County, Georgia"
"123800","9648","0500000US13257","Stephens County, Georgia"
